/Users/apple/Documents/Workwise/hospitality/backend/app/config/app.config.js: line 33, col 7, Error - 'magicSearchFileUploadPath' is assigned a value but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 244, col 13, Error - 'created_at' is assigned a value but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 251, col 9, Error - 'original_filename' is assigned a value but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 297, col 33, Error - 'next' is defined but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 299, col 11, Error - 'created_by' is assigned a value but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 302, col 13, Error - 'created_at' is assigned a value but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 309, col 9, Error - 'original_filename' is assigned a value but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 347, col 34, Error - 'next' is defined but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 370, col 32, Error - 'next' is defined but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 393, col 34, Error - 'next' is defined but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 396, col 11, Error - 'updatedBy' is assigned a value but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 422, col 32, Error - 'next' is defined but never used. (no-unused-vars)
/Users/apple/Documents/Workwise/hospitality/backend/app/controllers/admin/cmsController.js: line 425, col 11, Error - 'updatedBy' is assigned a value but never used. (no-unused-vars)
